customer_id,age,gender,item_purchased,category,purchase_amount,location,size,color,season,review_rating,subscription_status,shipping_type,discount_applied,promo_code_used,previous_purchases,payment_method,frequency_of_purchases,review_missing,used_promo,purchases_per_year,engagement_score,promo_dependency_score,promo_dependency_tier,lifetime_value_proxy,value_tier,satisfaction_tier,high_satisfaction,loyalty_score_a,loyalty_score_b,loyal_a_flag,loyal_b_flag
1049,30,Male,Socks,Clothing,77,Maine,L,Yellow,Fall,2.7,Yes,Standard,Yes,Yes,19,Venmo,Fortnightly,0,1,26,41.6,58.4,Moderate Dependency,1463,Gold,Dissatisfied,0,41.6,0.0,0,0
1050,45,Male,Sunglasses,Accessories,33,Virginia,S,Purple,Fall,2.8,Yes,Store Pickup,Yes,Yes,24,Cash,Quarterly,0,1,4,30.5,69.5,High Dependency,792,Silver,Dissatisfied,0,30.5,0.0,0,0
1051,48,Male,Sneakers,Footwear,64,Florida,M,Beige,Winter,3.8,Yes,Next Day Air,Yes,Yes,19,Venmo,Monthly,0,1,12,30.7,69.3,High Dependency,1216,Silver,Neutral,0,30.7,0.0,0,0
1052,45,Male,Socks,Clothing,53,Ohio,M,Indigo,Fall,2.6,Yes,Free Shipping,Yes,Yes,39,PayPal,Annually,0,1,1,46.5,53.5,Moderate Dependency,2067,Gold,Dissatisfied,0,46.5,14.5,0,0
1053,60,Male,Shoes,Footwear,36,Virginia,XL,Pink,Fall,3.0,Yes,2-Day Shipping,Yes,Yes,1,Credit Card,Fortnightly,0,1,26,19.6,80.4,High Dependency,36,Bronze,Dissatisfied,0,19.6,0.0,0,0
1054,59,Male,Blouse,Clothing,70,Kansas,M,Blue,Spring,3.3,No,2-Day Shipping,Yes,Yes,10,Debit Card,Bi-Weekly,0,1,26,30.6,69.4,High Dependency,700,Silver,Neutral,0,30.6,0.0,0,0
1055,18,Male,Shorts,Clothing,96,Arkansas,L,Cyan,Winter,4.9,No,Express,Yes,Yes,48,PayPal,Quarterly,0,1,4,59.9,40.1,Moderate Dependency,4608,Platinum,Satisfied,1,59.9,72.8,1,1
1056,70,Male,Jacket,Outerwear,27,Massachusetts,M,Orange,Spring,3.3,No,Next Day Air,Yes,Yes,24,Debit Card,Annually,0,1,1,28.2,71.8,High Dependency,648,Silver,Neutral,0,28.2,0.0,0,0
1057,20,Male,Sweater,Clothing,64,Idaho,L,Black,Winter,2.9,No,2-Day Shipping,Yes,Yes,42,Venmo,Fortnightly,0,1,26,69.8,30.2,Low Dependency,2688,Platinum,Dissatisfied,0,69.8,38.9,1,1
1058,65,Male,Jacket,Outerwear,23,Wisconsin,S,Maroon,Spring,4.4,No,2-Day Shipping,Yes,Yes,20,Credit Card,Weekly,0,1,52,63.3,36.7,Moderate Dependency,460,Bronze,Satisfied,1,63.3,0.0,1,0
1059,29,Male,Scarf,Accessories,33,New Mexico,L,Violet,Summer,3.1,No,Next Day Air,Yes,Yes,49,Bank Transfer,Every 3 Months,0,1,4,61.1,38.9,Moderate Dependency,1617,Gold,Dissatisfied,0,61.1,12.7,1,0
1060,22,Male,Jacket,Outerwear,34,North Carolina,M,Beige,Winter,2.5,No,Standard,Yes,Yes,25,Debit Card,Monthly,0,1,12,38.0,62.0,Moderate Dependency,850,Silver,Dissatisfied,0,38.0,0.0,0,0
1061,27,Male,Sweater,Clothing,35,Iowa,S,Gray,Summer,2.6,No,Next Day Air,Yes,Yes,21,Debit Card,Every 3 Months,0,1,4,26.8,73.2,High Dependency,735,Silver,Dissatisfied,0,26.8,0.0,0,0
1062,36,Male,Coat,Outerwear,62,Idaho,M,Gray,Summer,4.4,No,Free Shipping,Yes,Yes,12,Venmo,Every 3 Months,0,1,4,15.8,84.2,High Dependency,744,Silver,Satisfied,1,15.8,0.0,0,0
1063,59,Male,Boots,Footwear,75,Ohio,M,Brown,Fall,2.6,No,Next Day Air,Yes,Yes,21,Debit Card,Every 3 Months,0,1,4,26.8,73.2,High Dependency,1575,Gold,Dissatisfied,0,26.8,0.0,0,0
1064,62,Male,Hoodie,Clothing,29,Alabama,S,Indigo,Summer,3.3,No,Free Shipping,Yes,Yes,35,Cash,Monthly,0,1,12,50.3,49.7,Moderate Dependency,1015,Silver,Neutral,0,50.3,0.0,0,0
1065,34,Male,Hat,Accessories,28,Wyoming,M,Violet,Spring,3.5,No,Express,Yes,Yes,42,Credit Card,Every 3 Months,0,1,4,52.6,47.4,Moderate Dependency,1176,Silver,Neutral,0,52.6,0.0,0,0
1066,59,Male,T-shirt,Clothing,20,Alabama,XL,Blue,Spring,4.1,No,Store Pickup,Yes,Yes,3,PayPal,Every 3 Months,0,1,4,4.8,95.2,High Dependency,60,Bronze,Satisfied,1,4.8,0.0,0,0
1067,49,Male,Coat,Outerwear,96,Mississippi,M,Red,Winter,4.0,No,Store Pickup,Yes,Yes,11,PayPal,Bi-Weekly,0,1,26,31.9,68.1,High Dependency,1056,Silver,Neutral,0,31.9,0.0,0,0
1068,18,Male,Dress,Clothing,43,Pennsylvania,S,Peach,Summer,2.7,No,2-Day Shipping,Yes,Yes,22,PayPal,Quarterly,0,1,4,28.1,71.9,High Dependency,946,Silver,Dissatisfied,0,28.1,0.0,0,0
1069,55,Male,Shirt,Clothing,94,Wyoming,M,Olive,Fall,2.5,No,Standard,Yes,Yes,47,Credit Card,Weekly,0,1,52,96.3,3.7,Low Dependency,4418,Platinum,Dissatisfied,0,96.3,87.3,1,1
1070,38,Male,Skirt,Clothing,81,Maryland,XL,White,Fall,4.3,No,Next Day Air,Yes,Yes,33,Venmo,Every 3 Months,0,1,4,41.5,58.5,Moderate Dependency,2673,Platinum,Satisfied,1,41.5,24.3,0,0
1071,50,Male,Jewelry,Accessories,75,North Carolina,M,Magenta,Summer,3.3,No,Free Shipping,Yes,Yes,50,Debit Card,Weekly,0,1,52,100.0,0.0,Low Dependency,3750,Platinum,Neutral,0,100.0,75.7,1,1
1072,61,Male,Hat,Accessories,81,Pennsylvania,M,Beige,Summer,2.6,No,Express,Yes,Yes,46,Credit Card,Monthly,0,1,12,63.7,36.3,Moderate Dependency,3726,Platinum,Dissatisfied,0,63.7,56.8,1,1
1073,48,Male,Shorts,Clothing,92,Idaho,L,Gold,Fall,3.8,No,Express,Yes,Yes,34,Debit Card,Fortnightly,1,1,26,60.0,40.0,Moderate Dependency,3128,Platinum,Neutral,0,60.0,42.8,1,1
1074,22,Male,Scarf,Accessories,96,California,XL,Purple,Spring,4.0,No,Store Pickup,Yes,Yes,33,Credit Card,Monthly,0,1,12,47.8,52.2,Moderate Dependency,3168,Platinum,Neutral,0,47.8,37.5,0,1
1075,48,Male,Jewelry,Accessories,71,Tennessee,S,White,Fall,2.6,No,Standard,Yes,Yes,45,Bank Transfer,Fortnightly,0,1,26,73.5,26.5,Low Dependency,3195,Platinum,Dissatisfied,0,73.5,51.0,1,1
1076,57,Male,Sunglasses,Accessories,50,Missouri,L,Indigo,Summer,4.9,No,Next Day Air,Yes,Yes,32,Debit Card,Bi-Weekly,0,1,26,57.6,42.4,Moderate Dependency,1600,Gold,Satisfied,1,57.6,10.6,1,0
1077,33,Male,Coat,Outerwear,72,North Dakota,L,Charcoal,Spring,2.9,No,Standard,Yes,Yes,47,Venmo,Bi-Weekly,0,1,26,75.9,24.1,Low Dependency,3384,Platinum,Dissatisfied,0,75.9,56.1,1,1
1078,58,Male,Jacket,Outerwear,28,West Virginia,M,Pink,Winter,3.7,No,Standard,Yes,Yes,5,PayPal,Quarterly,0,1,4,7.3,92.7,High Dependency,140,Bronze,Neutral,0,7.3,0.0,0,0
1079,37,Male,Sweater,Clothing,59,Arizona,M,Silver,Fall,4.4,No,Express,Yes,Yes,49,Credit Card,Fortnightly,0,1,26,78.4,21.6,Low Dependency,2891,Platinum,Satisfied,1,78.4,47.3,1,1
1080,18,Male,Coat,Outerwear,33,Oklahoma,S,Blue,Summer,4.4,No,Free Shipping,Yes,Yes,48,Bank Transfer,Monthly,0,1,12,66.2,33.8,Moderate Dependency,1584,Gold,Satisfied,1,66.2,14.6,1,0
1081,65,Male,Scarf,Accessories,59,Pennsylvania,L,Blue,Fall,3.8,No,Express,Yes,Yes,22,Cash,Every 3 Months,0,1,4,28.1,71.9,High Dependency,1298,Gold,Neutral,0,28.1,0.0,0,0
1082,62,Male,Belt,Accessories,30,Idaho,XL,Brown,Spring,4.5,No,Standard,Yes,Yes,45,Credit Card,Annually,0,1,1,53.9,46.1,Moderate Dependency,1350,Gold,Satisfied,1,53.9,3.7,0,0
1083,54,Male,Hat,Accessories,85,South Carolina,XL,Cyan,Winter,2.6,No,Next Day Air,Yes,Yes,30,Venmo,Quarterly,0,1,4,37.9,62.1,Moderate Dependency,2550,Platinum,Dissatisfied,0,37.9,19.9,0,0
1084,35,Male,Backpack,Accessories,97,Washington,L,Teal,Summer,3.3,No,Store Pickup,Yes,Yes,43,Cash,Weekly,0,1,52,91.4,8.6,Low Dependency,4171,Platinum,Neutral,0,91.4,79.9,1,1
1085,34,Male,T-shirt,Clothing,36,Arkansas,S,Purple,Fall,4.1,No,Next Day Air,Yes,Yes,48,Cash,Quarterly,0,1,4,59.9,40.1,Moderate Dependency,1728,Gold,Satisfied,1,59.9,14.4,1,0
1086,25,Male,Jewelry,Accessories,85,Utah,M,Turquoise,Winter,3.0,No,Store Pickup,Yes,Yes,23,Venmo,Fortnightly,0,1,26,46.5,53.5,Moderate Dependency,1955,Gold,Dissatisfied,0,46.5,12.2,0,0
1087,53,Male,Sunglasses,Accessories,62,Alaska,M,Olive,Winter,3.0,No,Free Shipping,Yes,Yes,27,PayPal,Bi-Weekly,0,1,26,51.4,48.6,Moderate Dependency,1674,Gold,Dissatisfied,0,51.4,9.0,0,0
1088,45,Male,Jeans,Clothing,71,West Virginia,S,White,Winter,3.4,No,Next Day Air,Yes,Yes,7,Bank Transfer,Monthly,0,1,12,16.0,84.0,High Dependency,497,Bronze,Neutral,0,16.0,0.0,0,0
1089,49,Male,Pants,Clothing,21,Louisiana,M,Turquoise,Winter,2.7,No,Free Shipping,Yes,Yes,2,PayPal,Weekly,0,1,52,41.2,58.8,Moderate Dependency,42,Bronze,Dissatisfied,0,41.2,0.0,0,0
1090,40,Male,Backpack,Accessories,61,Arizona,M,Silver,Spring,3.8,No,Next Day Air,Yes,Yes,33,PayPal,Bi-Weekly,0,1,26,58.8,41.2,Moderate Dependency,2013,Gold,Neutral,0,58.8,19.6,1,0
1091,38,Male,Scarf,Accessories,58,Connecticut,M,Violet,Spring,4.2,No,Store Pickup,Yes,Yes,27,Cash,Fortnightly,0,1,26,51.4,48.6,Moderate Dependency,1566,Gold,Satisfied,1,51.4,6.8,0,0
1092,44,Male,Sweater,Clothing,80,North Carolina,L,Lavender,Spring,4.7,No,Store Pickup,Yes,Yes,6,Credit Card,Fortnightly,0,1,26,25.7,74.3,High Dependency,480,Bronze,Satisfied,1,25.7,0.0,0,0
1093,68,Male,Jewelry,Accessories,50,South Dakota,L,Magenta,Spring,4.1,No,2-Day Shipping,Yes,Yes,20,Venmo,Quarterly,0,1,4,25.6,74.4,High Dependency,1000,Silver,Satisfied,1,25.6,0.0,0,0
1094,60,Male,Sneakers,Footwear,48,Delaware,S,Indigo,Winter,4.2,No,2-Day Shipping,Yes,Yes,46,Venmo,Every 3 Months,0,1,4,57.5,42.5,Moderate Dependency,2208,Gold,Satisfied,1,57.5,22.9,1,0
1095,25,Male,Jewelry,Accessories,40,Connecticut,M,Black,Winter,4.8,No,Next Day Air,Yes,Yes,25,Cash,Quarterly,0,1,4,31.7,68.3,High Dependency,1000,Silver,Satisfied,1,31.7,0.0,0,0
1096,19,Male,Coat,Outerwear,34,Tennessee,S,Peach,Summer,3.0,No,Free Shipping,Yes,Yes,30,Bank Transfer,Quarterly,0,1,4,37.9,62.1,Moderate Dependency,1020,Silver,Dissatisfied,0,37.9,0.0,0,0
1097,57,Male,Coat,Outerwear,46,New Hampshire,S,Beige,Fall,2.6,No,Standard,Yes,Yes,48,Credit Card,Annually,0,1,1,57.6,42.4,Moderate Dependency,2208,Gold,Dissatisfied,0,57.6,23.0,1,0
1098,58,Male,Sunglasses,Accessories,27,Vermont,M,Black,Summer,3.2,No,Store Pickup,Yes,Yes,47,Bank Transfer,Weekly,0,1,52,96.3,3.7,Low Dependency,1269,Silver,Dissatisfied,0,96.3,23.5,1,0
1099,49,Male,Handbag,Accessories,98,Idaho,S,Turquoise,Spring,3.6,No,Next Day Air,Yes,Yes,27,Credit Card,Weekly,0,1,52,71.8,28.2,Low Dependency,2646,Platinum,Neutral,0,71.8,39.0,1,1
1100,19,Male,Sweater,Clothing,73,North Carolina,M,Peach,Fall,2.6,No,Next Day Air,Yes,Yes,45,Bank Transfer,Fortnightly,0,1,26,73.5,26.5,Low Dependency,3285,Platinum,Dissatisfied,0,73.5,52.8,1,1
1101,50,Male,Pants,Clothing,28,Nevada,L,Gold,Spring,4.4,No,Express,Yes,Yes,2,Credit Card,Weekly,0,1,52,41.2,58.8,Moderate Dependency,56,Bronze,Satisfied,1,41.2,0.0,0,0
1102,30,Male,Gloves,Accessories,76,Delaware,XL,Silver,Fall,3.0,No,Free Shipping,Yes,Yes,39,Cash,Fortnightly,0,1,26,66.1,33.9,Moderate Dependency,2964,Platinum,Dissatisfied,0,66.1,42.6,1,1
1103,52,Male,Sweater,Clothing,83,Texas,M,Peach,Fall,2.9,No,Express,Yes,Yes,24,Cash,Fortnightly,0,1,26,47.8,52.2,Moderate Dependency,1992,Gold,Dissatisfied,0,47.8,13.6,0,0
1104,35,Male,Hoodie,Clothing,23,Tennessee,S,Charcoal,Spring,4.3,No,Free Shipping,Yes,Yes,8,Debit Card,Bi-Weekly,0,1,26,28.2,71.8,High Dependency,184,Bronze,Satisfied,1,28.2,0.0,0,0
1105,35,Male,Hat,Accessories,28,Delaware,M,Beige,Fall,3.1,No,Express,Yes,Yes,8,Bank Transfer,Quarterly,0,1,4,10.9,89.1,High Dependency,224,Bronze,Dissatisfied,0,10.9,0.0,0,0
1106,33,Male,T-shirt,Clothing,83,Massachusetts,S,Olive,Spring,3.0,No,Next Day Air,Yes,Yes,6,Venmo,Every 3 Months,0,1,4,8.5,91.5,High Dependency,498,Bronze,Dissatisfied,0,8.5,0.0,0,0
1107,52,Male,Skirt,Clothing,96,Minnesota,L,Violet,Winter,3.6,No,Store Pickup,Yes,Yes,12,Venmo,Fortnightly,0,1,26,33.1,66.9,High Dependency,1152,Silver,Neutral,0,33.1,0.0,0,0
1108,69,Male,Sneakers,Footwear,62,Texas,M,Peach,Fall,2.8,No,Store Pickup,Yes,Yes,26,Bank Transfer,Weekly,0,1,52,70.6,29.4,Low Dependency,1612,Gold,Dissatisfied,0,70.6,17.4,1,0
1109,27,Male,Shorts,Clothing,25,Nebraska,M,Teal,Fall,2.8,No,Standard,Yes,Yes,50,Cash,Fortnightly,0,1,26,79.6,20.4,Low Dependency,1250,Silver,Dissatisfied,0,79.6,14.6,1,0
1110,66,Male,Hoodie,Clothing,97,Oklahoma,L,Violet,Winter,3.8,No,Next Day Air,Yes,Yes,2,Venmo,Weekly,1,1,52,41.2,58.8,Moderate Dependency,194,Bronze,Neutral,0,41.2,0.0,0,0
1111,28,Male,Hoodie,Clothing,61,Texas,L,Cyan,Fall,3.0,No,Standard,Yes,Yes,31,Cash,Bi-Weekly,0,1,26,56.3,43.7,Moderate Dependency,1891,Gold,Dissatisfied,0,56.3,15.9,1,0
1112,22,Male,Shoes,Footwear,66,New York,S,Olive,Summer,4.1,No,Next Day Air,Yes,Yes,4,Credit Card,Bi-Weekly,0,1,26,23.3,76.7,High Dependency,264,Bronze,Satisfied,1,23.3,0.0,0,0
1113,69,Male,Hoodie,Clothing,67,Washington,XL,Pink,Spring,4.6,No,Free Shipping,Yes,Yes,32,PayPal,Quarterly,0,1,4,40.3,59.7,Moderate Dependency,2144,Gold,Satisfied,1,40.3,12.9,0,0
1114,28,Male,Sunglasses,Accessories,80,Maryland,M,Purple,Summer,4.8,No,Next Day Air,Yes,Yes,11,PayPal,Bi-Weekly,0,1,26,31.9,68.1,High Dependency,880,Silver,Satisfied,1,31.9,0.0,0,0
1115,55,Male,Skirt,Clothing,25,New Hampshire,L,Violet,Fall,2.6,No,Next Day Air,Yes,Yes,47,Bank Transfer,Every 3 Months,0,1,4,58.7,41.3,Moderate Dependency,1175,Silver,Dissatisfied,0,58.7,2.6,1,0
1116,30,Male,Hat,Accessories,58,New York,S,Peach,Fall,4.0,No,2-Day Shipping,Yes,Yes,37,Cash,Weekly,0,1,52,84.1,15.9,Low Dependency,2146,Gold,Neutral,0,84.1,35.1,1,1
1117,67,Male,Backpack,Accessories,96,Hawaii,M,Charcoal,Winter,4.2,No,Express,Yes,Yes,39,PayPal,Fortnightly,0,1,26,66.1,33.9,Moderate Dependency,3744,Platinum,Satisfied,1,66.1,58.4,1,1
1118,25,Male,Sunglasses,Accessories,77,California,L,Lavender,Spring,4.5,No,Store Pickup,Yes,Yes,24,Credit Card,Monthly,0,1,12,36.8,63.2,Moderate Dependency,1848,Gold,Satisfied,1,36.8,5.1,0,0
1119,49,Male,Belt,Accessories,65,Indiana,M,Purple,Summer,4.9,No,Standard,Yes,Yes,11,PayPal,Every 3 Months,0,1,4,14.6,85.4,High Dependency,715,Silver,Satisfied,1,14.6,0.0,0,0
1120,34,Male,Jewelry,Accessories,36,Louisiana,M,Indigo,Spring,3.1,No,Standard,Yes,Yes,36,Credit Card,Weekly,0,1,52,82.9,17.1,Low Dependency,1296,Gold,Dissatisfied,0,82.9,17.2,1,0
1121,22,Male,Sneakers,Footwear,84,Pennsylvania,M,Magenta,Winter,4.0,No,Next Day Air,Yes,Yes,40,Debit Card,Monthly,0,1,12,56.4,43.6,Moderate Dependency,3360,Platinum,Neutral,0,56.4,45.7,1,1
1122,63,Male,T-shirt,Clothing,58,Florida,XL,Peach,Fall,3.2,No,Express,Yes,Yes,25,Cash,Quarterly,0,1,4,31.7,68.3,High Dependency,1450,Gold,Dissatisfied,0,31.7,0.0,0,0
1123,70,Male,Handbag,Accessories,62,North Carolina,S,Charcoal,Spring,4.3,No,2-Day Shipping,Yes,Yes,12,Credit Card,Annually,0,1,1,13.5,86.5,High Dependency,744,Silver,Satisfied,1,13.5,0.0,0,0
1124,36,Male,Hat,Accessories,67,Massachusetts,S,Purple,Fall,2.5,No,Store Pickup,Yes,Yes,38,Cash,Monthly,0,1,12,53.9,46.1,Moderate Dependency,2546,Platinum,Dissatisfied,0,53.9,27.9,0,0
1125,42,Male,Sweater,Clothing,20,Iowa,M,Orange,Spring,3.8,No,Express,Yes,Yes,40,Cash,Quarterly,1,1,4,50.1,49.9,Moderate Dependency,800,Silver,Neutral,0,50.1,0.0,0,0
1126,27,Male,Sandals,Footwear,90,North Dakota,M,Lavender,Summer,2.7,No,2-Day Shipping,Yes,Yes,10,Bank Transfer,Weekly,0,1,52,51.0,49.0,Moderate Dependency,900,Silver,Dissatisfied,0,51.0,0.0,0,0
1127,23,Male,Scarf,Accessories,58,Iowa,L,Beige,Winter,3.4,No,Standard,Yes,Yes,47,Venmo,Fortnightly,0,1,26,75.9,24.1,Low Dependency,2726,Platinum,Neutral,0,75.9,42.7,1,1
1128,50,Male,Shirt,Clothing,53,Delaware,XL,Maroon,Spring,4.8,No,Store Pickup,Yes,Yes,22,Debit Card,Monthly,0,1,12,34.3,65.7,Moderate Dependency,1166,Silver,Satisfied,1,34.3,0.0,0,0
1129,56,Male,Gloves,Accessories,30,New York,L,Charcoal,Winter,4.7,No,Next Day Air,Yes,Yes,35,Debit Card,Monthly,0,1,12,50.3,49.7,Moderate Dependency,1050,Silver,Satisfied,1,50.3,0.0,0,0
1130,37,Male,Hoodie,Clothing,65,New Hampshire,XL,White,Winter,4.7,No,Express,Yes,Yes,46,Venmo,Fortnightly,0,1,26,74.7,25.3,Low Dependency,2990,Platinum,Satisfied,1,74.7,47.5,1,1
1131,67,Male,Jewelry,Accessories,41,Kentucky,M,Lavender,Summer,3.9,No,Standard,Yes,Yes,30,PayPal,Bi-Weekly,0,1,26,55.1,44.9,Moderate Dependency,1230,Silver,Neutral,0,55.1,1.9,1,0
1132,67,Male,Shirt,Clothing,73,Illinois,M,Black,Spring,3.7,No,Express,Yes,Yes,20,Bank Transfer,Monthly,0,1,12,31.9,68.1,High Dependency,1460,Gold,Neutral,0,31.9,0.0,0,0
1133,50,Male,Hoodie,Clothing,98,North Carolina,S,Teal,Spring,4.3,No,Store Pickup,Yes,Yes,25,Cash,Fortnightly,0,1,26,49.0,51.0,Moderate Dependency,2450,Platinum,Satisfied,1,49.0,23.5,0,0
1134,36,Male,Shoes,Footwear,36,Connecticut,XL,Magenta,Winter,4.1,No,2-Day Shipping,Yes,Yes,29,Cash,Weekly,0,1,52,74.3,25.7,Low Dependency,1044,Silver,Satisfied,1,74.3,7.8,1,0
1135,62,Male,T-shirt,Clothing,81,Wisconsin,M,Brown,Summer,3.8,No,Express,Yes,Yes,2,Venmo,Every 3 Months,1,1,4,3.6,96.4,High Dependency,162,Bronze,Neutral,0,3.6,0.0,0,0
1136,65,Male,Skirt,Clothing,90,Massachusetts,L,Peach,Winter,3.6,No,2-Day Shipping,Yes,Yes,32,Bank Transfer,Quarterly,0,1,4,40.3,59.7,Moderate Dependency,2880,Platinum,Neutral,0,40.3,27.9,0,0
1137,23,Male,Handbag,Accessories,83,Illinois,S,Cyan,Summer,4.8,No,Free Shipping,Yes,Yes,37,Cash,Monthly,0,1,12,52.7,47.3,Moderate Dependency,3071,Platinum,Satisfied,1,52.7,38.0,0,1
1138,46,Male,Shirt,Clothing,91,New Mexico,XL,Pink,Winter,2.8,No,2-Day Shipping,Yes,Yes,16,Bank Transfer,Every 3 Months,0,1,4,20.7,79.3,High Dependency,1456,Gold,Dissatisfied,0,20.7,0.0,0,0
1139,18,Male,Pants,Clothing,36,Iowa,M,Purple,Summer,4.7,No,Express,Yes,Yes,32,Venmo,Fortnightly,0,1,26,57.6,42.4,Moderate Dependency,1152,Silver,Satisfied,1,57.6,1.5,1,0
1140,58,Male,Coat,Outerwear,53,Alabama,L,Purple,Spring,3.9,No,Standard,Yes,Yes,42,Debit Card,Bi-Weekly,0,1,26,69.8,30.2,Low Dependency,2226,Platinum,Neutral,0,69.8,29.5,1,0
1141,31,Male,Jeans,Clothing,39,Maryland,M,White,Winter,2.6,No,Store Pickup,Yes,Yes,6,Credit Card,Every 3 Months,0,1,4,8.5,91.5,High Dependency,234,Bronze,Dissatisfied,0,8.5,0.0,0,0
1142,39,Male,Gloves,Accessories,33,Ohio,S,Silver,Winter,4.7,No,Next Day Air,Yes,Yes,23,PayPal,Fortnightly,0,1,26,46.5,53.5,Moderate Dependency,759,Silver,Satisfied,1,46.5,0.0,0,0
1143,69,Male,T-shirt,Clothing,76,Ohio,L,Green,Spring,3.5,No,Store Pickup,Yes,Yes,27,Venmo,Bi-Weekly,0,1,26,51.4,48.6,Moderate Dependency,2052,Gold,Neutral,0,51.4,16.7,0,0
1144,68,Male,Boots,Footwear,23,Nevada,L,Teal,Winter,4.4,No,Standard,Yes,Yes,43,PayPal,Quarterly,0,1,4,53.8,46.2,Moderate Dependency,989,Silver,Satisfied,1,53.8,0.0,0,0
1145,41,Male,Jeans,Clothing,54,South Carolina,S,Indigo,Fall,4.4,No,2-Day Shipping,Yes,Yes,25,Bank Transfer,Fortnightly,0,1,26,49.0,51.0,Moderate Dependency,1350,Gold,Satisfied,1,49.0,1.2,0,0
1146,31,Male,Sneakers,Footwear,89,Nevada,L,Pink,Summer,3.0,No,Express,Yes,Yes,30,Cash,Every 3 Months,0,1,4,37.9,62.1,Moderate Dependency,2670,Platinum,Dissatisfied,0,37.9,22.4,0,0
1147,48,Male,Sneakers,Footwear,38,Wisconsin,M,Indigo,Summer,4.2,No,Standard,Yes,Yes,7,Bank Transfer,Every 3 Months,0,1,4,9.7,90.3,High Dependency,266,Bronze,Satisfied,1,9.7,0.0,0,0
1148,59,Male,Hat,Accessories,36,Tennessee,XL,Red,Winter,4.3,No,Next Day Air,Yes,Yes,17,Debit Card,Annually,0,1,1,19.6,80.4,High Dependency,612,Bronze,Satisfied,1,19.6,0.0,0,0
1149,34,Male,Pants,Clothing,66,Florida,M,Violet,Spring,2.6,No,Store Pickup,Yes,Yes,10,PayPal,Fortnightly,0,1,26,30.6,69.4,High Dependency,660,Silver,Dissatisfied,0,30.6,0.0,0,0
1150,21,Male,Jewelry,Accessories,42,Georgia,L,Cyan,Spring,3.3,No,Store Pickup,Yes,Yes,40,Venmo,Annually,0,1,1,47.8,52.2,Moderate Dependency,1680,Gold,Neutral,0,47.8,7.3,0,0
1151,29,Male,Jewelry,Accessories,36,Kentucky,S,Red,Winter,2.7,No,Next Day Air,Yes,Yes,50,Venmo,Bi-Weekly,0,1,26,79.6,20.4,Low Dependency,1800,Gold,Dissatisfied,0,79.6,25.8,1,0
1152,41,Male,Blouse,Clothing,86,Ohio,M,Gray,Spring,3.8,No,Express,Yes,Yes,24,Credit Card,Weekly,1,1,52,68.2,31.8,Low Dependency,2064,Gold,Neutral,0,68.2,25.4,1,0
1153,62,Male,Handbag,Accessories,49,Connecticut,M,Gold,Fall,4.0,No,Standard,Yes,Yes,8,PayPal,Every 3 Months,0,1,4,10.9,89.1,High Dependency,392,Bronze,Neutral,0,10.9,0.0,0,0
1154,27,Male,Shirt,Clothing,41,Idaho,M,Pink,Summer,4.0,No,Free Shipping,Yes,Yes,6,Bank Transfer,Quarterly,0,1,4,8.5,91.5,High Dependency,246,Bronze,Neutral,0,8.5,0.0,0,0
1155,49,Male,Dress,Clothing,82,Georgia,L,Cyan,Spring,2.9,No,2-Day Shipping,Yes,Yes,44,Credit Card,Bi-Weekly,0,1,26,72.3,27.7,Low Dependency,3608,Platinum,Dissatisfied,0,72.3,58.8,1,1
1156,67,Male,T-shirt,Clothing,53,Tennessee,S,Red,Fall,2.6,No,Express,Yes,Yes,47,PayPal,Quarterly,0,1,4,58.7,41.3,Moderate Dependency,2491,Platinum,Dissatisfied,0,58.7,29.3,1,0
1157,20,Male,Shoes,Footwear,21,Hawaii,M,Gold,Summer,4.8,No,Express,Yes,Yes,6,Venmo,Every 3 Months,0,1,4,8.5,91.5,High Dependency,126,Bronze,Satisfied,1,8.5,0.0,0,0
1158,37,Male,Belt,Accessories,66,Maryland,M,Charcoal,Fall,4.4,No,Standard,Yes,Yes,11,Cash,Quarterly,0,1,4,14.6,85.4,High Dependency,726,Silver,Satisfied,1,14.6,0.0,0,0
1159,69,Male,Belt,Accessories,89,Nevada,L,Orange,Summer,4.0,No,2-Day Shipping,Yes,Yes,41,Bank Transfer,Annually,0,1,1,49.0,51.0,Moderate Dependency,3649,Platinum,Neutral,0,49.0,47.8,0,1
1160,66,Male,Handbag,Accessories,55,New Hampshire,L,Blue,Fall,3.6,No,2-Day Shipping,Yes,Yes,46,Venmo,Every 3 Months,0,1,4,57.5,42.5,Moderate Dependency,2530,Platinum,Neutral,0,57.5,29.4,1,0
1161,37,Male,Scarf,Accessories,42,North Dakota,S,Blue,Summer,3.2,No,Next Day Air,Yes,Yes,9,Venmo,Bi-Weekly,0,1,26,29.4,70.6,High Dependency,378,Bronze,Dissatisfied,0,29.4,0.0,0,0
1162,63,Male,Shorts,Clothing,52,Oklahoma,S,Orange,Fall,3.1,No,2-Day Shipping,Yes,Yes,37,PayPal,Monthly,0,1,12,52.7,47.3,Moderate Dependency,1924,Gold,Dissatisfied,0,52.7,14.7,0,0
1163,47,Male,Sandals,Footwear,92,North Carolina,M,Blue,Winter,4.2,No,Express,Yes,Yes,13,PayPal,Weekly,0,1,52,54.7,45.3,Moderate Dependency,1196,Silver,Satisfied,1,54.7,1.0,0,0
